Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    ND15    Egz.    
Vardas1             Pavarde1            2       10      3       5       10      5       7       7       7       9       3       9       1       4       5       10      
Vardas2             Pavarde2            2       3       9       1       5       9       2       5       1       8       2       3       7       7       8       2       
Vardas3             Pavarde3            3       9       7       8       2       6       2       8       5       6       6       3       8       6       5       2       
Vardas4             Pavarde4            3       8       10      10      9       7       6       4       3       8       6       6       4       2       2       7       
Vardas5             Pavarde5            7       7       1       8       4       8       4       3       10      8       10      4       6       5       5       1       
Vardas6             Pavarde6            1       2       5       2       7       3       7       4       10      7       9       1       9       1       3       9       
Vardas7             Pavarde7            10      5       1       1       10      3       2       3       8       3       10      3       1       3       4       6       
Vardas8             Pavarde8            10      5       9       2       3       2       4       2       6       3       9       6       5       2       8       8       
Vardas9             Pavarde9            1       9       2       10      9       4       6       4       1       4       1       1       3       6       5       1       
Vardas10            Pavarde10           5       7       5       2       8       6       9       3       10      2       5       6       7       10      1       5       
Vardas11            Pavarde11           2       4       6       4       9       1       5       2       8       2       9       1       8       5       1       1       
Vardas12            Pavarde12           8       7       7       7       3       1       3       7       2       6       10      6       7       2       5       4       
Vardas13            Pavarde13           9       6       8       2       4       6       6       6       2       6       5       3       6       7       9       3       
Vardas14            Pavarde14           5       6       5       2       7       1       7       3       3       9       10      4       1       6       9       4       
Vardas15            Pavarde15           10      9       5       10      5       10      7       4       9       10      6       5       9       6       1       7       
Vardas16            Pavarde16           10      3       2       7       7       7       6       2       7       9       10      4       8       8       8       2       
Vardas17            Pavarde17           1       8       2       10      6       7       1       2       2       4       7       10      3       4       10      10      
Vardas18            Pavarde18           8       10      6       6       5       10      3       8       7       10      6       9       6       4       7       2       
Vardas19            Pavarde19           4       1       4       5       2       9       4       8       3       3       5       7       10      1       9       4       
Vardas20            Pavarde20           7       9       8       6       8       10      9       9       7       7       7       9       6       6       2       1       
Vardas21            Pavarde21           8       1       7       2       3       7       9       7       8       7       1       1       7       8       7       4       
Vardas22            Pavarde22           6       9       3       1       6       7       5       4       9       7       3       8       10      6       4       3       
Vardas23            Pavarde23           7       10      8       1       6       6       2       5       9       2       4       6       4       4       7       7       
Vardas24            Pavarde24           10      6       2       3       9       3       10      6       7       9       9       6       3       10      3       3       
Vardas25            Pavarde25           4       10      3       5       1       10      10      9       8       7       5       4       9       3       6       1       
Vardas26            Pavarde26           7       6       10      8       5       8       5       2       6       3       8       2       7       1       6       2       
Vardas27            Pavarde27           8       10      4       7       10      3       10      8       8       10      4       5       2       3       3       3       
Vardas28            Pavarde28           4       8       1       9       8       3       8       10      2       5       1       1       4       2       7       10      
Vardas29            Pavarde29           1       8       6       9       9       5       6       5       5       2       4       5       7       8       6       4       
Vardas30            Pavarde30           6       10      10      9       6       1       2       10      6       6       7       7       1       6       1       4       
Vardas31            Pavarde31           9       2       2       6       2       8       10      4       6       9       3       2       10      9       8       4       
Vardas32            Pavarde32           2       6       9       6       9       4       8       8       9       1       6       10      6       1       3       7       
Vardas33            Pavarde33           7       10      7       7       4       9       1       4       8       3       1       5       5       9       9       6       
Vardas34            Pavarde34           5       1       5       10      9       4       9       9       9       9       7       6       2       10      3       3       
Vardas35            Pavarde35           10      9       2       4       7       9       5       4       3       1       7       9       9       1       2       1       
Vardas36            Pavarde36           3       6       6       5       5       2       10      5       2       8       8       4       1       9       4       3       
Vardas37            Pavarde37           2       8       9       10      7       10      9       10      3       7       6       1       2       9       1       7       
Vardas38            Pavarde38           3       7       3       3       5       6       2       4       2       8       4       6       10      4       4       4       
Vardas39            Pavarde39           6       9       4       3       5       8       6       8       10      9       6       5       4       1       6       7       
Vardas40            Pavarde40           1       8       5       8       3       4       2       6       7       5       3       8       3       10      6       10      
Vardas41            Pavarde41           10      10      4       4       9       10      3       7       8       8       2       2       9       9       1       8       
Vardas42            Pavarde42           1       3       3       6       1       3       6       8       1       3       8       7       2       3       6       9       
Vardas43            Pavarde43           4       8       9       2       10      4       3       8       6       3       6       4       9       9       5       8       
Vardas44            Pavarde44           1       7       4       5       7       7       1       2       10      8       4       6       1       1       3       2       
Vardas45            Pavarde45           6       7       2       5       5       2       9       7       8       3       3       1       8       10      10      3       
Vardas46            Pavarde46           5       8       4       7       5       7       9       8       9       8       3       7       4       2       6       8       
Vardas47            Pavarde47           8       3       8       2       10      5       10      3       7       10      7       3       4       4       4       8       
Vardas48            Pavarde48           9       6       10      8       7       1       4       6       6       7       6       9       4       9       6       2       
Vardas49            Pavarde49           2       1       3       3       6       9       9       3       1       2       9       3       7       7       5       4       
Vardas50            Pavarde50           1       10      5       4       10      3       1       3       9       7       5       8       4       3       2       10      
Vardas51            Pavarde51           4       1       7       3       3       1       8       4       5       7       8       7       6       5       8       8       
Vardas52            Pavarde52           3       6       6       7       7       8       1       6       10      1       1       9       10      8       8       9       
Vardas53            Pavarde53           3       3       1       5       6       1       10      8       3       3       4       9       1       3       4       6       
Vardas54            Pavarde54           2       1       4       8       10      2       4       4       1       8       4       7       9       8       5       4       
Vardas55            Pavarde55           1       10      1       4       3       5       7       9       9       9       5       10      7       4       2       8       
Vardas56            Pavarde56           4       1       2       6       6       10      8       7       6       7       9       8       1       7       7       7       
Vardas57            Pavarde57           1       2       4       8       5       2       5       4       2       1       10      5       7       10      1       2       
Vardas58            Pavarde58           4       4       1       6       9       10      6       7       3       6       5       3       6       6       2       5       
Vardas59            Pavarde59           4       3       5       3       9       10      10      10      2       9       5       8       7       1       1       8       
Vardas60            Pavarde60           5       5       10      10      7       6       4       7       5       5       9       9       4       2       5       8       
Vardas61            Pavarde61           10      4       10      9       10      1       6       6       4       1       9       2       9       9       6       6       
Vardas62            Pavarde62           3       4       2       6       10      5       9       2       4       1       4       8       3       5       1       1       
Vardas63            Pavarde63           7       8       3       6       9       2       8       8       5       8       1       8       6       5       7       2       
Vardas64            Pavarde64           6       8       1       9       1       7       8       2       7       3       8       1       4       5       1       5       
Vardas65            Pavarde65           6       1       8       6       2       3       9       10      5       6       10      4       4       5       6       8       
Vardas66            Pavarde66           1       7       8       8       8       8       4       10      9       2       2       1       5       6       2       4       
Vardas67            Pavarde67           8       3       3       6       6       6       2       2       3       9       7       3       2       9       8       8       
Vardas68            Pavarde68           1       7       8       6       8       4       2       9       10      8       8       10      3       10      10      6       
Vardas69            Pavarde69           9       1       3       7       1       8       7       8       2       3       3       3       6       8       8       9       
Vardas70            Pavarde70           6       7       8       9       8       4       9       5       10      1       1       7       1       6       9       4       
